Language accepted: Java1.7 Parser
Command line: ../soco/java 
initialize ok
259 submissions

259 submissions parsed successfully!
0 parser errors!


Comparing 000.java-001.java: 6.912442
Comparing 000.java-002.java: 28.688524
Comparing 000.java-003.java: 7.142857
Comparing 000.java-004.java: 0.0
Comparing 000.java-005.java: 0.0
Comparing 000.java-006.java: 0.0
Comparing 000.java-007.java: 0.0
Comparing 000.java-008.java: 7.518797
Comparing 000.java-009.java: 0.0
Comparing 000.java-010.java: 0.0
Comparing 000.java-011.java: 13.012048
Comparing 000.java-012.java: 0.0
Comparing 000.java-013.java: 0.0
Comparing 000.java-014.java: 0.0
Comparing 000.java-015.java: 0.0
Comparing 000.java-016.java: 0.0
Comparing 000.java-017.java: 0.0
Comparing 000.java-018.java: 0.0
Comparing 000.java-019.java: 0.0
Comparing 000.java-020.java: 4.390244
Comparing 000.java-021.java: 0.0
Comparing 000.java-022.java: 0.0
Comparing 000.java-023.java: 0.0
Comparing 000.java-024.java: 0.0
Comparing 000.java-025.java: 6.52819
Comparing 000.java-026.java: 0.0
Comparing 000.java-027.java: 0.0
Comparing 000.java-028.java: 0.0
Comparing 000.java-029.java: 0.0
Comparing 000.java-030.java: 0.0
Comparing 000.java-031.java: 0.0
Comparing 000.java-032.java: 0.0
Comparing 000.java-033.java: 0.0
Comparing 000.java-034.java: 0.0
Comparing 000.java-035.java: 0.0
Comparing 000.java-036.java: 0.0
Comparing 000.java-037.java: 3.488372
Comparing 000.java-038.java: 0.0
Comparing 000.java-039.java: 0.0
Comparing 000.java-040.java: 0.0
Comparing 000.java-041.java: 0.0
Comparing 000.java-042.java: 0.0
Comparing 000.java-043.java: 0.0
Comparing 000.java-044.java: 0.0
Comparing 000.java-045.java: 0.0
Comparing 000.java-046.java: 4.0816326
Comparing 000.java-047.java: 0.0
Comparing 000.java-048.java: 0.0
Comparing 000.java-049.java: 0.0
Comparing 000.java-050.java: 6.569343
Comparing 000.java-051.java: 0.0
Comparing 000.java-052.java: 7.7220078
Comparing 000.java-053.java: 0.0
Comparing 000.java-054.java: 0.0
Comparing 000.java-055.java: 5.0139275
Comparing 000.java-056.java: 0.0
Comparing 000.java-057.java: 0.0
Comparing 000.java-058.java: 20.447285
Comparing 000.java-059.java: 0.0
Comparing 000.java-060.java: 0.0
Comparing 000.java-061.java: 8.396947
Comparing 000.java-062.java: 0.0
Comparing 000.java-063.java: 0.0
Comparing 000.java-064.java: 0.0
Comparing 000.java-065.java: 0.0
Comparing 000.java-066.java: 0.0
Comparing 000.java-067.java: 0.0
Comparing 000.java-068.java: 0.0
Comparing 000.java-069.java: 0.0
Comparing 000.java-070.java: 0.0
Comparing 000.java-071.java: 0.0
Comparing 000.java-072.java: 0.0
Comparing 000.java-073.java: 0.0
Comparing 000.java-074.java: 17.454546
Comparing 000.java-075.java: 0.0
Comparing 000.java-076.java: 0.0
Comparing 000.java-077.java: 0.0
Comparing 000.java-078.java: 15.277778
Comparing 000.java-079.java: 0.0
Comparing 000.java-080.java: 13.098237
Comparing 000.java-081.java: 0.0
Comparing 000.java-082.java: 0.0
Comparing 000.java-083.java: 0.0
Comparing 000.java-084.java: 6.097561
Comparing 000.java-085.java: 0.0
Comparing 000.java-086.java: 5.625
Comparing 000.java-087.java: 0.0
Comparing 000.java-088.java: 0.0
Comparing 000.java-089.java: 7.2202168
Comparing 000.java-090.java: 0.0
Comparing 000.java-091.java: 0.0
Comparing 000.java-092.java: 0.0
Comparing 000.java-093.java: 0.0
Comparing 000.java-094.java: 0.0
Comparing 000.java-095.java: 0.0
Comparing 000.java-096.java: 0.0
Comparing 000.java-097.java: 0.0
Comparing 000.java-098.java: 0.0
Comparing 000.java-099.java: 9.375
Comparing 000.java-100.java: 8.602151
Comparing 000.java-101.java: 0.0
Comparing 000.java-102.java: 0.0
Comparing 000.java-103.java: 7.2131147
Comparing 000.java-104.java: 6.5454545
Comparing 000.java-105.java: 7.8014183
Comparing 000.java-106.java: 0.0
Comparing 000.java-107.java: 0.0
Comparing 000.java-108.java: 0.0
Comparing 000.java-109.java: 0.0
Comparing 000.java-110.java: 0.0
Comparing 000.java-111.java: 0.0
Comparing 000.java-112.java: 0.0
Comparing 000.java-113.java: 0.0
Comparing 000.java-114.java: 0.0
Comparing 000.java-115.java: 0.0
Comparing 000.java-116.java: 0.0
Comparing 000.java-117.java: 0.0
Comparing 000.java-118.java: 0.0
Comparing 000.java-119.java: 0.0
Comparing 000.java-120.java: 0.0
Comparing 000.java-121.java: 0.0
Comparing 000.java-122.java: 0.0
Comparing 000.java-123.java: 0.0
Comparing 000.java-124.java: 0.0
Comparing 000.java-125.java: 7.594937
Comparing 000.java-126.java: 0.0
